Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0016715	489	144	169	85	42	50	246	225	241	43	59	61	145.92	237	54	0.223	-2.164	-9.602	7.87427731411311e-22	1.79836379581553e-19	0	0.0344	0.025	0.025	TRUE	0.4173
FBgn0085359	266	48	85	11	2	1	134	75	121	6	3	1	56.62	110	3	0.034	-4.871	-9.264	1.96452657242309e-20	4.37450954514312e-18	0.0974	0.0684	0.0744	0.0744	TRUE	1.0395
FBgn0261596	46352	12878	17184	18532	7650	8921	23346	20126	24485	9450	10699	10934	16506.88	22652	10361	0.457	-1.129	-9.241	2.4429652686497e-20	5.3071930848446e-18	0.0078	0.013	0.0107	0.0107	TRUE	0.1161
FBgn0023549	632	217	238	177	79	91	318	339	339	90	110	112	218.14	332	104	0.31	-1.691	-9.213	3.16795058753891e-20	6.71831806743073e-18	0	0.0273	0.0178	0.0178	TRUE	0.1827
FBgn0036576	5973	1958	1716	2212	873	1067	3008	3060	2445	1128	1221	1308	2028.38	2838	1219	0.429	-1.221	-9.108	8.38435730755578e-20	1.73673187298603e-17	0.0091	0.0144	0.0123	0.0123	TRUE	0.1756
FBgn0039109	1226	413	417	505	169	218	617	645	594	258	236	267	436.37	619	254	0.411	-1.284	-9.103	8.81811731007334e-20	1.78506752001871e-17	0	0.0201	0.0114	0.0114	TRUE	0.0336
FBgn0001137	1154	377	462	492	158	207	581	589	658	251	221	254	425.72	609	242	0.399	-1.326	-8.988	2.52826238959699e-19	4.89548545742183e-17	0.0023	0.0202	0.0127	0.0127	TRUE	0.0554
FBgn0261552	22518	5916	5184	6734	1604	1703	11342	9246	7387	3434	2243	2087	5956.41	9325	2588	0.278	-1.848	-8.984	2.62116224989265e-19	4.96738131059444e-17	0.0626	0.0134	0.0302	0.0302	TRUE	0.2024
FBgn0063649	1712	598	525	717	247	279	862	935	748	366	345	342	599.66	848	351	0.415	-1.27	-8.898	5.71153216468362e-19	1.0598461873091e-16	0.0054	0.0181	0.0126	0.0126	TRUE	0.12
FBgn0261584	482	140	152	133	42	39	243	219	217	68	59	48	142.09	226	58	0.261	-1.939	-8.715	2.90111516557143e-18	5.06671230975387e-16	0.0056	0.035	0.0249	0.0249	TRUE	0.2624
FBgn0040827	723	189	192	192	44	57	364	295	274	98	62	70	193.74	311	77	0.25	-1.998	-8.616	6.92939125167066e-18	1.18692476689674e-15	0.0332	0.0291	0.0305	0.0305	TRUE	0.704
FBgn0024315	247	89	94	48	15	23	124	139	134	24	21	28	78.51	132	24	0.187	-2.422	-8.61	7.33518805798547e-18	1.2327267930656e-15	0	0.0529	0.0334	0.0334	TRUE	0.0671
FBgn0034389	390	127	103	88	25	37	196	198	147	45	35	45	111.14	180	42	0.233	-2.101	-8.298	1.05462363042677e-16	1.7079150320384e-14	0.0136	0.0412	0.0315	0.0315	TRUE	0.2604
FBgn0050147	2422	792	900	1190	449	546	1220	1238	1282	607	628	669	940.68	1247	635	0.509	-0.976	-8.295	1.08693325827097e-16	1.72880616632491e-14	0	0.0162	0.0087	0.0087	TRUE	0.0265
FBgn0261015	5147	1605	1511	2335	885	1008	2592	2508	2153	1191	1238	1235	1819.61	2418	1221	0.504	-0.987	-8.191	2.58764330837792e-16	4.04353314872318e-14	0.0047	0.0146	0.0098	0.0098	TRUE	0.11
FBgn0265512	252	80	81	53	16	17	127	125	115	27	22	21	72.93	122	23	0.195	-2.355	-8.136	4.09290726892664e-16	6.17890254988637e-14	0	0.056	0.0359	0.0359	TRUE	0.1862
FBgn0261800	94096	30264	31346	53731	20061	20917	47393	47297	44665	27399	28058	25638	36741.63	46452	27032	0.582	-0.781	-7.999	1.25926916079781e-15	1.83873941233215e-13	0.0016	0.0129	0.0068	0.0068	TRUE	0.0249
FBgn0031703	273	93	106	73	25	28	138	145	151	37	35	34	90.07	145	35	0.248	-2.012	-7.965	1.65103261656085e-15	2.37189476059799e-13	0	0.0478	0.0286	0.0286	TRUE	0.024
FBgn0035542	1785	591	516	762	258	330	899	924	735	389	361	404	618.63	853	385	0.451	-1.149	-7.852	4.10851616811242e-15	5.55696201770697e-13	0.0074	0.0179	0.0134	0.0134	TRUE	0.1656
FBgn0052521	7543	2803	2702	3964	1629	1766	3799	4381	3850	2021	2278	2165	3082.35	4010	2155	0.537	-0.897	-7.721	1.15160780713518e-14	1.48657546929754e-12	0.0045	0.0139	0.0093	0.0093	TRUE	0.0787
FBgn0032004	2019	725	867	1117	359	459	1017	1133	1235	570	502	563	836.6	1128	545	0.485	-1.045	-7.682	1.56107250966421e-14	1.98635326336844e-12	0.0062	0.0166	0.0119	0.0119	TRUE	0.0955
FBgn0283658	3020	1219	1308	1361	599	719	1521	1905	1864	694	838	881	1283.83	1763	804	0.456	-1.134	-7.603	2.89233939628208e-14	3.62846014122316e-12	0.0147	0.0153	0.0151	0.0151	TRUE	0.1822
FBgn0039257	1641	475	476	694	247	309	827	742	678	354	345	379	554.2	749	359	0.478	-1.065	-7.466	8.2533558132979e-14	9.67271581961111e-12	0.0052	0.0185	0.0125	0.0125	TRUE	0.1047
FBgn0037239	1886	603	712	976	385	421	950	942	1015	498	538	516	743.17	969	517	0.533	-0.907	-7.403	1.33395181312819e-13	1.50398845563707e-11	0	0.0171	0.0093	0.0093	TRUE	0.0194
FBgn0262057	1981	566	664	1005	319	394	998	885	946	512	446	483	711.67	943	480	0.51	-0.97	-7.4	1.35944575790166e-13	1.51357292070376e-11	0.003	0.0173	0.0107	0.0107	TRUE	0.0433
FBgn0036684	2599	852	820	1349	498	556	1309	1332	1168	688	697	681	979.14	1270	689	0.542	-0.884	-7.362	1.81579856543647e-13	1.99670590399292e-11	0.0016	0.0161	0.0092	0.0092	TRUE	0.0563
FBgn0031449	2310	789	824	1188	463	558	1163	1233	1174	606	648	684	917.99	1190	646	0.542	-0.884	-7.344	2.07385269685437e-13	2.25265926474169e-11	0.0013	0.0163	0.0092	0.0092	TRUE	0.0385
FBgn0053307	3608	742	989	1277	301	374	1817	1160	1409	651	421	458	986.11	1462	510	0.35	-1.515	-7.34	2.12898910256375e-13	2.28468746223317e-11	0.0531	0.016	0.0293	0.0293	TRUE	0.2242
FBgn0040388	3504	1183	1095	1864	680	744	1765	1849	1560	951	951	912	1331.24	1725	938	0.544	-0.879	-7.31	2.6727298557641e-13	2.834048193487e-11	0.0032	0.0152	0.0095	0.0095	TRUE	0.0813
FBgn0031359	1680	569	572	879	330	369	846	889	815	448	462	452	652.08	850	454	0.534	-0.906	-7.29	3.09958715554141e-13	3.24800268169498e-11	0	0.0177	0.0093	0.0093	TRUE	0.0176
FBgn0031322	1036	346	438	303	137	215	522	541	624	155	192	264	382.71	562	204	0.359	-1.479	-7.227	4.94911873149622e-13	5.12579076063219e-11	0.0369	0.0211	0.0266	0.0266	TRUE	0.7275
FBgn0263873	2187	778	701	1071	429	393	1102	1216	999	546	600	482	824.01	1106	543	0.491	-1.027	-7.192	6.38569633408179e-13	6.46334059632574e-11	0.0087	0.0167	0.0132	0.0132	TRUE	0.1058
FBgn0051337	2497	732	1014	1106	410	574	1258	1144	1445	564	573	704	947.91	1282	614	0.478	-1.065	-7.119	1.08353573503385e-12	1.08438795415129e-10	0.0133	0.0162	0.0148	0.0148	TRUE	0.1891
